listing_id,suburb,property_type,bedrooms,floor_size_m2,list_date,sold_date,list_price,sold_price,status
L105339,Brooklyn,House,5.0,302.0,2023-09-21,2023-10-30,"R6,651,000",R 6 496 000.00,Sold
L101730,SANDTON,Apartment,2.0,134.0,2025-03-11,2025-04-12,R 3 558 000.00,R 3 497 000.00,Sold
L101699,Centurion,Apartment,1.0,58.0,2025-01-20,2025-03-02,1030000,1014000,Sold
L101357,Lynnwood,House,5.0,399.0,2023-10-11,2023-12-13,R 8 474 000.00,R 8 474 000.00,Sold
L103680,CENTURION,Apartment,1.0,82.0,2025-11-21,2025-12-01,R 1 410 000,R 1 402 000,Sold
L100319,Sandton,Apartment,2.0,84.0,2026-04-06,2026-07-27,2656000,"R2,530,000",Sold
L104015,FAERIE GLEN,House,4.0,191.0,2026-04-04,2026-04-25,R 3 686 000.00,"R3,590,000",Sold
L103352,Waterkloof,House,3.0,166.0,2025-04-04,2025-04-19,"R4,276,000",R 4 276 000,Sold
L104618,Lynnwood,Townhouse,1.0,117.0,2026-02-23,2026-03-20,2100000,R 2 100 000.00,Sold
L101108,Sandton,House,3.0,292.0,2024-07-23,2024-08-18,R 9 289 000.00,"R8,405,000",Sold
L104628,Groenkloof,Apartment,1.0,72.0,2026-01-23,2026-02-17,"R1,576,000",R 1 576 000.00,Sold
L102944,Brooklyn,Apartment,2.0,126.0,2025-05-04,2025-06-01,"R3,024,000",R 3 024 000.00,Sold
L101302,Rooihuiskraal,Apartment,2.0,115.0,2025-03-01,2025-03-20,1642000,R 1 612 000.00,Sold
L102031,Faerie Glen,House,3.0,159.0,2023-08-03,2023-09-27,R 2 822 000.00,R 2 769 000,Sold
L101426,Waterkloof,Townhouse,2.0,164.0,2024-05-04,2024-06-05,3973000,R 3 727 000,Sold
L100296,Sandton,Apartment,1.0,80.0,2025-12-23,2026-01-29,R 3 183 000.00,R 2 962 000.00,Sold
L102647,  rooihuiskraal ,House,4.0,9.0,2026-04-10,2026-05-17,4566000,R 4 529 000.00,Sold
L101662,Rooihuiskraal,Apartment,1.0,114.0,2025-06-16,2025-07-26,1683000,R 1 621 000,Sold
L102750,Brooklyn,Apartment,1.0,85.0,2025-03-01,2025-04-09,2174000,2174000,Sold
L104359,Centurion,Apartment,1.0,45.0,2023-04-09,,"R701,000",,Withdrawn
L102345,  waterkloof ,House,3.0,182.0,2025-10-29,2025-11-21,R 4 263 000,R 4 029 000.00,Sold
L101186,Lynnwood,House,4.0,255.0,2025-08-31,,6606000,,Withdrawn
L104694,Lynnwood,Apartment,1.0,98.0,2024-01-16,2024-03-21,1587000,"R1,556,000",Sold
L101215,Faerie Glen,House,5.0,316.0,2026-01-04,2026-03-15,"R7,997,000","R7,482,000",Sold
L101393,Waterkloof,Apartment,1.0,95.0,2025-04-20,2025-06-08,R 2 409 000,R 2 248 000.00,Sold
L101512,Irene,House,3.0,174.0,2023-06-02,,R 3 155 000.00,,Withdrawn
L104343,Brooklyn,Townhouse,2.0,110.0,2023-11-19,,R 2 197 000.00,,Withdrawn
L103618,Menlo Park,Apartment,1.0,80.0,2024-03-25,2024-05-10,R 1 478 000,R 1 464 000.00,Sold
L101961,Lynnwood,House,4.0,294.0,2023-09-21,2023-12-07,R 5 944 000.00,"R5,494,000",Sold
L100233,Irene,House,,144.0,2024-04-09,2024-06-06,"R3,380,000",R 3 193 000,Sold
L103803,Groenkloof,Apartment,1.0,84.0,2025-04-18,2025-05-28,R 1 613 000.00,R 1 613 000.00,Sold
L103815,Lynnwood,House,3.0,178.0,2024-06-30,2024-09-16,3936000,"R3,662,000",Sold
L104054,Bryanston,Apartment,2.0,78.0,2026-01-17,2026-01-30,R 2 248 000.00,2193000,Sold
L105153,Groenkloof,Apartment,1.0,85.0,2025-02-26,2025-04-03,1914000,R 1 886 000.00,Sold
L100346,Sandton,Townhouse,3.0,135.0,2023-11-06,2024-01-05,4136000,"R3,919,000",Sold
L102063,Waterkloof Ridge,Apartment,1.0,75.0,2024-03-02,,"R2,330,000",,Withdrawn
L102034,Waterkloof Ridge,House,2.0,77.0,2024-09-25,,R 2 065 000.00,,Withdrawn
L102927,Irene,Townhouse,4.0,303.0,2023-11-19,2024-01-19,4462000,R 4 339 000,Sold
L100576,Sandton,House,6.0,563.0,2023-05-14,2023-05-30,R 15 635 000,R 14 037 000,Sold
L101056,Sandton,Apartment,1.0,69.0,2025-06-20,2025-08-07,"R2,154,000",2035000,Sold
L103540,Bryanston,Townhouse,2.0,161.0,2026-01-01,2026-02-28,R 4 323 000.00,"R4,167,000",Sold
L103404,Bryanston,Apartment,1.0,76.0,2024-12-04,2025-01-17,2188000,R 2 133 000.00,Sold
L101634,Sandton,House,3.0,250.0,2025-07-24,2025-09-18,9363000,R 8 724 000,Sold
L101922,Lynnwood,Apartment,1.0,40.0,2026-01-08,2026-01-27,R 820 000,R 788 000,Sold
L100544,Waterkloof Ridge,House,4.0,280.0,2026-01-24,2026-02-09,R 8 766 000,"R8,342,000",Sold
L101825,Waterkloof,House,2.0,184.0,2023-12-19,2024-01-08,R 4 099 000.00,R 4 083 000.00,Sold
L103018,Menlo Park,Apartment,2.0,113.0,2023-12-12,2024-01-14,2305000,R 2 165 000.00,Sold
L105713,Centurion,House,,235.0,2025-01-16,2025-02-20,R 3 648 000,R 3 648 000,Sold
L103759,Groenkloof,House,2.0,120.0,2024-01-30,2024-02-06,2145000,2002000,Sold
L100706,Rooihuiskraal,House,5.0,325.0,2025-07-31,2025-10-18,R 4 849 000.00,"R4,558,000",Sold
L103937,Centurion,House,4.0,242.0,2023-10-03,2023-11-09,R 3 870 000.00,R 3 766 000,Sold
L105894,  waterkloof ,House,4.0,,2024-07-02,2024-08-16,R 6 007 000,5779000,Sold
L104377,Groenkloof,House,2.0,145.0,2025-06-15,2025-08-01,R 3 442 000.00,3419000,Sold
L105980,Faerie Glen,House,3.0,230.0,2025-03-07,2025-04-21,R 3 874 000,3740000,Sold
L104880,Waterkloof Ridge,House,,206.0,2023-11-05,2023-12-17,5030000,5030000,Sold
L104102,Faerie Glen,Townhouse,2.0,135.0,2024-04-05,2024-05-10,2763000,R 2 614 000,Sold
L101074,Bryanston,Apartment,1.0,169.0,2023-05-26,2023-06-23,"R4,247,000",4168000,Sold
L104083,Brooklyn,Townhouse,3.0,194.0,2025-10-03,2025-11-05,R 5 117 000,"R5,001,000",Sold
L103405,Bryanston,Apartment,1.0,73.0,2023-04-26,2023-06-05,R 2 021 000,R 2 021 000,Sold
L101345,Irene,House,5.0,283.0,2023-06-21,2023-07-06,"R5,765,000","R5,615,000",Sold
L101419,Sandton,House,2.0,210.0,2023-11-05,2023-12-24,R 7 382 000.00,R 7 111 000.00,Sold
L104589,Bryanston,Apartment,,60.0,2024-06-01,2024-06-25,"R1,621,000",R 1 621 000,Sold
L101620,Groenkloof,House,4.0,299.0,2024-11-11,2024-11-25,R 6 538 000.00,R 6 302 000,Sold
L102486,Rooihuiskraal,Townhouse,4.0,309.0,2023-04-07,2023-06-17,R 4 218 000.00,"R3,922,000",Sold
L102916,Brooklyn,House,4.0,250.0,2026-03-22,2026-04-21,"R7,450,000",7146000,Sold
L103318,Waterkloof,Apartment,2.0,94.0,2024-04-29,2024-07-08,2119000,R 2 119 000.00,Sold
L102457,Waterkloof Ridge,Townhouse,2.0,144.0,2023-08-07,2023-09-17,R 3 470 000,3318000,Sold
L102902,Waterkloof Ridge,Apartment,1.0,78.0,2024-11-08,2024-11-22,1804000,R 1 739 000,Sold
L101039,Waterkloof Ridge,Townhouse,2.0,139.0,2023-09-04,2023-09-25,"R3,351,000","R3,255,000",Sold
L104515,Brooklyn,House,2.0,145.0,2024-07-10,2024-08-16,"R3,161,000",R 3 161 000.00,Sold
L102522,Menlo Park,Townhouse,3.0,224.0,2025-01-31,2025-02-21,R 5 050 000,R 4 664 000,Sold
L101499,Centurion,House,,287.0,2024-02-17,2024-03-27,5108000,"R4,881,000",Sold
L100742,Bryanston,House,3.0,250.0,2025-07-04,2025-08-01,R 8 673 000.00,R 7 881 000.00,Sold
L105741,Centurion,House,5.0,334.0,2024-11-02,2024-12-17,R 6 274 000.00,R 6 201 000,Sold
L105828,Faerie Glen,House,3.0,278.0,2024-12-26,2025-01-14,"R5,604,000","R5,318,000",Sold
L105419,Menlo Park,Townhouse,2.0,102.0,2025-04-18,2025-05-10,R 2 442 000,R 2 223 000.00,Sold
L105638,Waterkloof,Townhouse,2.0,135.0,2023-09-14,2023-09-23,"R2,581,000","R2,468,000",Sold
L104652,Waterkloof Ridge,Apartment,1.0,77.0,2023-05-31,2023-08-11,1908000,"R1,848,000",Sold
L102480,Faerie Glen,House,3.0,188.0,2025-01-29,2025-03-20,R 3 613 000.00,R 3 505 000.00,Sold
L101864,Centurion,Apartment,1.0,82.0,2024-03-18,2024-05-01,R 1 337 000.00,1323000,Sold
L103428,Sandton,Apartment,2.0,107.0,2023-08-18,2023-10-10,3540000,R 3 253 000,Sold
L102653,Centurion,House,6.0,453.0,2026-01-08,2026-04-23,R 10 047 000,9640000,Sold
L101144,LYNNWOOD,Apartment,2.0,119.0,2026-02-25,2026-04-06,"R2,530,000",R 2 444 000.00,Sold
L103525,Lynnwood,Apartment,2.0,91.0,2023-11-30,2023-12-31,R 1 467 000.00,"R1,387,000",Sold
L100080,Centurion,House,4.0,292.0,2024-02-18,2024-03-17,"R6,442,000",6442000,Sold
L104883,Menlo Park,Apartment,1.0,78.0,2025-02-22,2025-04-20,R 1 896 000,"R1,794,000",Sold
L104818,Faerie Glen Ext,House,3.0,235.0,2023-10-12,2024-01-03,R 3 933 000,"R3,738,000",Sold
L105576,Sandton,House,5.0,365.0,2023-03-08,2023-04-10,"R11,244,000",11244000,Sold
L101786,Menlo Park,Apartment,2.0,66.0,2023-01-22,2023-04-06,R 1 343 000,1343000,Sold
L105096,Centurion,House,6.0,403.0,2023-12-18,2024-04-01,8470000,8119000,Sold
L100960,Faerie Glen,House,2.0,213.0,2024-08-01,2024-11-22,4106000,4088000,Sold
L102755,Rooihuiskraal,House,,233.0,2025-06-21,2025-08-08,R 4 171 000.00,R 4 146 000,Sold
L105519,Irene,Apartment,1.0,35.0,2024-05-28,2024-06-17,"R736,000",736000,Sold
L100079,Rooihuiskraal,Apartment,2.0,116.0,2024-12-03,2025-01-18,R 1 541 000,1418000,Sold
L101566,Waterkloof,House,6.0,419.0,2024-09-09,2024-10-19,R 14 490 000.00,13640000,Sold
L101569,Faerie Glen,Townhouse,3.0,203.0,2024-12-29,2025-02-23,"R3,230,000","R3,102,000",Sold
L102166,Bryanston,Apartment,2.0,120.0,2025-07-03,2025-07-15,R 3 579 000.00,3579000,Sold
L100712,Bryanston,House,4.0,228.0,2024-07-27,2024-08-23,"R7,051,000",R 7 051 000,Sold
L101084,Sandton,Apartment,1.0,77.0,2023-02-03,2023-04-14,R 2 057 000,1995000,Sold
L101330,  rooihuiskraal ,House,4.0,270.0,2025-05-16,2025-05-31,"R4,291,000",R 4 063 000.00,Sold
L100023,Bryanston,Apartment,1.0,75.0,2023-03-06,2023-04-01,1875000,R 1 875 000.00,Sold
L103407,Brooklyn,House,5.0,306.0,2024-09-25,2024-11-08,"R7,481,000",R 7 261 000,Sold
L103779,Sandton,Apartment,1.0,102.0,2023-07-06,2023-07-22,"R2,796,000",2727000,Sold
L104372,Faerie Glen,House,6.0,712.0,2023-11-03,2023-12-26,"R10,544,000",10376000,Sold
L104126,FAERIE GLEN,House,6.0,412.0,2024-11-23,2025-03-13,7140000,R 6 997 000,Sold
L105472,Sandton,House,4.0,271.0,2023-04-16,2023-06-30,R 9 402 000.00,"R9,260,000",Sold
L104161,Brooklyn,Apartment,,69.0,2024-08-30,2024-11-01,1624000,1620000,Sold
L104990,Waterkloof,Apartment,1.0,87.0,2024-06-09,2024-07-16,"R2,062,000","R1,938,000",Sold
L101261,  lynnwood ,Apartment,1.0,91.0,2024-02-11,2024-03-10,R 1 781 000,"R1,740,000",Sold
L105389,Sandton,House,2.0,178.0,2025-08-04,2025-08-21,7076000,"R6,705,000",Sold
L101438,Sandton,House,1.0,127.0,2024-12-25,2025-01-18,4375000,"R4,184,000",Sold
L101769,Bryanston,Apartment,2.0,65.0,2026-01-21,2026-04-06,R 1 996 000,"R1,912,000",Sold
L105003,Groenkloof,Townhouse,4.0,216.0,2026-02-01,2026-02-23,R 4 852 000.00,R 4 421 000.00,Sold
L104104,Sandton,Apartment,2.0,100.0,2024-08-07,,R 2 835 000,,Withdrawn
L100553,Sandton,House,3.0,241.0,2026-02-20,2026-05-10,R 9 837 000.00,R 9 518 000,Sold
L100228,Centurion,House,6.0,448.0,2026-03-11,2026-03-31,R 9 808 000,R 9 808 000.00,Sold
L104288,Sandton,House,2.0,113.0,2024-05-05,2024-06-04,R 3 439 000,"R3,335,000",Sold
L103946,Groenkloof,Apartment,1.0,100.0,2023-11-10,2023-11-28,"R1,771,000",1698000,Sold
L102477,Groenkloof,House,3.0,268.0,2023-10-14,2023-12-22,R 5 744 000.00,"R5,612,000",Sold
L103931,Irene,Apartment,2.0,96.0,2026-03-10,2026-05-20,R 1 711 000,R 1 688 000,Sold
L102431,Centurion,House,3.0,201.0,2023-08-16,2023-09-28,3498000,3498000,Sold
L102329,FAERIE GLEN,House,5.0,291.0,2023-12-13,2024-02-02,R 4 887 000,R 4 852 000,Sold
L100805,Waterkloof Ridge,Apartment,3.0,54.0,2025-03-01,2025-04-02,R 1 543 000.00,R 1 503 000,Sold
L105445,Brooklyn,House,2.0,175.0,2025-05-28,2025-08-14,R 3 658 000.00,R 3 658 000,Sold
L105889,  waterkloof ,House,3.0,185.0,2025-08-25,2025-09-21,5744000,R 5 530 000,Sold
L103808,Sandton,House,4.0,180.0,2026-02-26,2026-04-30,"R7,268,000","R6,836,000",Sold
L103487,Centurion,House,3.0,217.0,2025-05-16,2025-07-18,"R4,177,000",R 4 177 000,Sold
L100037,Lynnwood,House,4.0,275.0,2024-12-11,2025-01-07,"R6,436,000","R6,430,000",Sold
L101514,Bryanston,Apartment,2.0,122.0,2025-12-27,2026-01-31,4188000,"R4,135,000",Sold
L102404,Rooihuiskraal,Townhouse,2.0,,2024-10-04,2024-11-21,1532000,R 1 532 000,Sold
L103381,BRYANSTON,House,3.0,382.0,2023-01-05,2023-01-23,"R10,636,000",R 10 468 000,Sold
L102549,BROOKLYN,Apartment,2.0,,2025-01-23,2025-02-24,2206000,R 2 109 000,Sold
L103252,Brooklyn,Apartment,1.0,128.0,2025-12-03,2026-01-18,R 2 987 000,R 2 754 000,Sold
L103167,Groenkloof,House,3.0,195.0,2025-02-15,2025-04-25,4446000,4313000,Sold
L103560,Centurion,Apartment,1.0,84.0,2023-10-10,2023-11-25,R 1 125 000.00,R 1 120 000,Sold
L103063,Bryanston,Apartment,2.0,63.0,2023-04-01,2023-05-16,R 1 601 000,"R1,547,000",Sold
L100879,Irene,House,3.0,155.0,2024-05-17,2024-08-12,R 2 986 000.00,2827000,Sold
L103897,Lynnwood,Apartment,2.0,132.0,2026-02-25,2026-05-01,"R2,940,000",R 2 730 000.00,Sold
L105967,Brooklyn,House,3.0,201.0,2025-02-19,2025-04-19,R 4 614 000,R 4 520 000,Sold
L100156,Brooklyn,House,2.0,193.0,2023-08-11,2023-08-21,3980000,R 3 933 000.00,Sold
L105356,Irene,House,6.0,445.0,2026-04-07,2026-06-02,9686000,9312000,Sold
L100410,Centurion,House,4.0,229.0,2023-07-19,2023-08-27,4292000,R 4 292 000.00,Sold
L103209,Waterkloof Ridge,Apartment,,66.0,2023-08-31,2023-10-02,1723000,1647000,Sold
L104977,Groenkloof,House,2.0,168.0,2024-01-14,2024-03-21,R 3 497 000.00,3497000,Sold
L105234,Centurion,Apartment,1.0,,2025-01-13,,R 1 708 000.00,,Withdrawn
L101738,Faerie Glen,House,4.0,272.0,2024-08-11,2024-09-01,R 4 815 000,"R4,541,000",Sold
L102135,Faerie Glen,House,3.0,204.0,2025-10-02,2025-11-23,R 4 176 000,3888000,Sold
L102611,BRYANSTON,Apartment,1.0,76.0,2023-09-08,2023-11-06,"R1,705,000",1658000,Sold
L104908,Centurion,Apartment,3.0,164.0,2024-05-03,2024-06-01,R 3 222 000,R 3 222 000.00,Sold
L104082,Centurion,House,3.0,230.0,2024-09-14,2024-10-23,R 4 401 000.00,4401000,Sold
L102918,Waterkloof,Apartment,2.0,153.0,2023-02-17,2023-03-23,R 2 983 000.00,R 2 983 000,Sold
L102008,Groenkloof,Apartment,2.0,124.0,2026-03-09,2026-04-17,3076000,"R2,966,000",Sold
L102664,Faerie Glen,House,3.0,187.0,2024-05-23,2024-08-16,2890000,2684000,Sold
L105777,FAERIE GLEN,House,4.0,221.0,2025-10-31,2026-01-14,4220000,R 4 121 000,Sold
L103520,Faerie Glen,Townhouse,3.0,206.0,2025-02-03,2025-06-03,R 3 646 000,R 3 475 000.00,Sold
L104932,Rooihuiskraal,Apartment,,95.0,2024-08-14,2024-11-07,R 1 493 000.00,"R1,399,000",Sold
L100084,Waterkloof,House,4.0,257.0,2024-11-02,,R 6 641 000,,Withdrawn
L100710,Sandton,House,6.0,596.0,2025-03-03,,R 24 677 000,,Withdrawn
L100926,Groenkloof,House,4.0,246.0,2025-11-21,2026-01-17,"R6,000,000",R 5 978 000.00,Sold
L102598,Sandton,House,3.0,197.0,2024-06-30,2024-07-16,"R6,732,000",R 6 613 000.00,Sold
L104696,Lynnwood,House,5.0,341.0,2025-12-20,2026-03-26,"R9,420,000","R9,420,000",Sold
L102877,Lynnwood,Apartment,1.0,87.0,2024-02-01,2024-03-06,R 1 712 000,R 1 674 000.00,Sold
L100254,Brooklyn,Townhouse,2.0,150.0,2023-06-29,2023-07-13,"R3,343,000",R 3 274 000.00,Sold
L102298,Waterkloof,House,6.0,416.0,2024-07-06,2024-09-16,R 11 462 000.00,11462000,Sold
L100351,Groenkloof,Townhouse,3.0,214.0,2024-02-09,2024-03-12,"R3,952,000",3753000,Sold
L102671,Lynnwood,House,4.0,309.0,2024-04-06,2024-05-05,6769000,R 6 291 000.00,Sold
L102086,Menlo Park,Townhouse,4.0,243.0,2025-11-30,2025-12-27,"R5,744,000","R5,688,000",Sold
L101406,Sandton,Townhouse,2.0,138.0,2024-06-20,2024-07-13,R 3 594 000,R 3 391 000,Sold
L101881,Centurion,House,6.0,513.0,2025-04-02,2025-05-19,R 9 714 000,9515000,Sold
L100538,Groenkloof,House,2.0,222.0,2023-03-05,2023-03-30,R 4 819 000,"R4,607,000",Sold
L104756,Lynnwood,Apartment,,55.0,2023-06-18,2023-07-22,R 916 000.00,"R907,000",Sold
L100263,Waterkloof Ridge,Apartment,2.0,119.0,2023-08-03,2023-10-10,R 2 881 000.00,"R2,704,000",Sold
L101351,Bryanston,House,1.0,111.0,2023-08-09,2023-09-12,R 3 573 000.00,R 3 462 000,Sold
L105599,Lynnwood,House,2.0,169.0,2025-01-01,2025-01-24,"R3,584,000",R 3 489 000.00,Sold
L103286,Irene,Apartment,1.0,65.0,2024-06-27,2024-08-07,"R1,227,000",1181000,Sold
L103711,  rooihuiskraal ,House,3.0,252.0,2024-11-23,2024-12-25,R 4 112 000,R 4 007 000.00,Sold
L104733,Brooklyn,Townhouse,4.0,259.0,2025-11-29,2026-01-23,R 7 371 000.00,R 7 100 000.00,Sold
L103494,WATERKLOOF RIDGE,House,2.0,163.0,2025-04-14,2025-05-27,6367000,"R6,123,000",Sold
L100783,Irene,House,2.0,185.0,2024-09-22,2024-12-19,R 3 574 000,3574000,Sold
L105140,Irene,House,4.0,,2023-04-08,,R 4 387 000,,Withdrawn
L104958,Menlo Park,House,4.0,218.0,2025-04-12,2025-05-20,R 5 340 000,R 5 340 000.00,Sold
L102080,Lynnwood,House,4.0,309.0,2024-04-03,2024-06-05,R 5 161 000.00,R 4 844 000,Sold
L104795,Groenkloof,Apartment,1.0,76.0,2023-06-10,,R 1 219 000,,Withdrawn
L102932,Irene,House,3.0,182.0,2025-11-03,2026-01-22,R 3 863 000,R 3 554 000.00,Sold
L104349,Bryanston,Apartment,1.0,82.0,2023-10-04,2023-11-13,R 2 173 000.00,R 2 056 000.00,Sold
L104351,Waterkloof,House,3.0,223.0,2024-08-18,,R 5 116 000.00,,Withdrawn
L105132,Groenkloof,House,3.0,233.0,2023-02-06,2023-02-20,4593000,R 4 538 000.00,Sold
L102503,Bryanston,Apartment,2.0,57.0,2023-01-16,2023-04-09,1466000,1429000,Sold
L103349,Lynnwood,House,3.0,184.0,2024-10-30,2024-11-20,R 4 741 000,4658000,Sold
L104794,Menlo Park,House,6.0,438.0,2025-04-24,2025-05-09,R 10 822 000.00,R 10 528 000.00,Sold
L101615,Groenkloof,Apartment,3.0,115.0,2026-01-23,2026-03-26,"R2,599,000","R2,495,000",Sold
L104244,Centurion,House,5.0,314.0,2023-11-18,2023-12-13,5559000,5363000,Sold
L102955,Menlo Park,House,3.0,224.0,2025-02-25,2025-05-08,5342000,5236000,Sold
L100393,Centurion,House,1.0,119.0,2023-06-27,2023-08-02,"R2,329,000",R 2 321 000,Sold
L102471,Bryanston,Apartment,1.0,82.0,2023-09-09,2023-10-20,R 2 050 000,R 2 050 000,Sold
L103671,Irene,Townhouse,2.0,155.0,2025-08-16,2025-09-24,R 3 042 000,2969000,Sold
L100093,Menlo Park,Apartment,3.0,175.0,2025-01-04,2025-03-05,R 3 312 000,3212000,Sold
L105717,Sandton,Apartment,,70.0,2023-10-22,2023-12-29,"R2,006,000",R 1 975 000,Sold
L103024,Menlo Park,Apartment,3.0,136.0,2024-03-09,2024-05-20,R 2 246 000,2140000,Sold
L100763,Waterkloof Ridge,Apartment,1.0,89.0,2024-05-27,2024-07-21,2341000,2341000,Sold
L105097,Centurion,Apartment,1.0,68.0,2023-04-16,2023-05-11,"R1,205,000",1140000,Sold
L102900,Menlo Park,House,3.0,221.0,2023-06-15,,R 4 148 000.00,,Withdrawn
L102954,FAERIE GLEN,House,1.0,113.0,2024-02-29,2024-04-06,R 2 125 000.00,"R2,052,000",Sold
L102574,Faerie Glen,Townhouse,2.0,192.0,2023-08-28,2023-10-30,R 3 123 000.00,R 2 885 000.00,Sold
L103433,Brooklyn,House,4.0,317.0,2025-02-18,2025-03-19,R 7 019 000,R 6 813 000,Sold
L101362,Irene,Townhouse,3.0,236.0,2025-12-11,2026-01-02,"R4,453,000","R4,386,000",Sold
L105079,Centurion,Apartment,2.0,79.0,2025-08-04,2025-09-30,R 1 264 000.00,R 1 263 000.00,Sold
L103657,Lynnwood,House,3.0,214.0,2024-05-15,2024-05-28,4556000,R 4 524 000,Sold
L101844,Groenkloof,House,4.0,246.0,2024-09-14,2024-12-07,"R4,503,000","R4,436,000",Sold
L101038,Lynnwood,Townhouse,4.0,207.0,2023-10-06,2023-11-06,R 4 554 000.00,R 4 489 000.00,Sold
L105953,Waterkloof,Townhouse,1.0,115.0,2024-03-15,2024-05-14,R 2 184 000,R 2 116 000.00,Sold
L100465,Centurion,Apartment,1.0,66.0,2023-07-29,2023-09-15,1024000,"R963,000",Sold
L105684,Lynnwood,Apartment,1.0,44.0,2025-12-04,2026-01-31,805000,781000,Sold
L103977,WATERKLOOF RIDGE,Apartment,2.0,126.0,2025-10-15,2025-11-29,"R3,918,000",R 3 783 000,Sold
L102271,Irene,House,3.0,238.0,2026-02-04,2026-03-07,R 5 756 000.00,R 5 588 000.00,Sold
L100691,Bryanston,House,4.0,368.0,2024-05-24,2024-06-03,R 9 714 000.00,8955000,Sold
L100561,Brooklyn,House,3.0,166.0,2023-02-19,2023-03-15,R 3 946 000.00,"R3,797,000",Sold
L105744,Centurion,House,4.0,217.0,2024-05-07,2024-06-05,"R3,869,000","R3,807,000",Sold
L100185,Centurion,Apartment,1.0,68.0,2023-12-22,2024-03-30,R 1 239 000,R 1 148 000.00,Sold
L104347,Bryanston,Apartment,1.0,65.0,2024-11-07,2024-12-17,R 1 252 000.00,"R1,242,000",Sold
L101044,Waterkloof,Townhouse,4.0,275.0,2024-09-06,2024-09-16,7295000,"R7,295,000",Sold
L101501,Sandton,Apartment,1.0,78.0,2026-01-12,2026-02-12,R 2 656 000.00,R 2 630 000.00,Sold
L102704,Centurion,House,4.0,,2025-06-17,,"R6,723,000",,Withdrawn
L101732,Centurion,House,4.0,316.0,2023-04-20,2023-05-30,R 5 419 000,5106000,Sold
L101086,Rooihuiskraal,Apartment,1.0,60.0,2024-09-01,2024-11-07,"R804,000",804000,Sold
L103799,Brooklyn,House,3.0,276.0,2024-11-10,2024-12-16,"R7,394,000",6857000,Sold
L100221,Faerie Glen,House,4.0,225.0,2024-07-06,2024-07-21,R 4 458 000.00,R 4 383 000.00,Sold
L105728,Sandton,Apartment,2.0,113.0,2024-12-02,2025-01-21,3836000,"R3,621,000",Sold
L105708,Waterkloof,House,,323.0,2024-06-09,2024-07-27,R 8 731 000.00,R 8 311 000.00,Sold
L100065,Faerie Glen,Apartment,1.0,79.0,2025-07-24,2025-08-09,"R1,476,000","R1,436,000",Sold
L100969,Groenkloof,Apartment,1.0,74.0,2024-12-11,2025-01-19,R 1 586 000.00,1527000,Sold
