listing_id,suburb,property_type,bedrooms,floor_size_m2,list_date,sold_date,status,list_price_zar,sold_price_zar
L100218,Sandton,House,4,341.0,2023-01-05,2023-02-23,Sold,11105000.0,10855000.0
L105880,Menlo Park,Apartment,1,71.0,2023-01-05,2023-01-22,Sold,1359000.0,1359000.0
L104898,Bryanston,House,3,230.0,2023-01-05,2023-02-04,Sold,7132000.0,7027000.0
L102563,Faerie Glen,House,3,195.0,2023-01-05,2023-03-29,Sold,2840000.0,2621000.0
L103381,Bryanston,House,3,382.0,2023-01-05,2023-01-23,Sold,10636000.0,10468000.0
L100166,Bryanston,Apartment,3,83.0,2023-01-06,,Withdrawn,2184000.0,
L102069,Faerie Glen,Townhouse,2,177.0,2023-01-06,2023-01-30,Sold,2553000.0,2419000.0
L104497,Faerie Glen,Apartment,1,59.0,2023-01-06,2023-03-03,Sold,701000.0,701000.0
L105850,Sandton,House,6,409.0,2023-01-06,2023-02-21,Sold,9633000.0,9337000.0
L101021,Centurion,Townhouse,4,206.0,2023-01-06,2023-02-14,Sold,3488000.0,3424000.0
L102132,Sandton,Apartment,1,53.0,2023-01-06,2023-02-03,Sold,1288000.0,1248000.0
L100792,Menlo Park,Apartment,2,94.0,2023-01-06,2023-03-06,Sold,1637000.0,1620000.0
L100515,Groenkloof,House,3,179.0,2023-01-06,2023-03-19,Sold,2697000.0,2578000.0
L105559,Waterkloof Ridge,Apartment,1,114.0,2023-01-07,2023-02-21,Sold,2878000.0,2854000.0
L105615,Brooklyn,House,4,296.0,2023-01-07,2023-04-06,Sold,6117000.0,6034000.0
L101594,Bryanston,Apartment,2,76.0,2023-01-07,2023-02-18,Sold,2103000.0,2055000.0
L104701,Lynnwood,House,2,173.0,2023-01-07,2023-03-02,Sold,3974000.0,3934000.0
L100724,Waterkloof Ridge,House,4,361.0,2023-01-08,2023-03-12,Sold,8800000.0,8408000.0
L101208,Brooklyn,House,1,88.0,2023-01-08,2023-01-28,Sold,1902000.0,1893000.0
L102061,Brooklyn,House,2,207.0,2023-01-08,2023-02-02,Sold,3976000.0,3899000.0
L100366,Rooihuiskraal,House,,264.0,2023-01-08,2023-02-17,Sold,4006000.0,3743000.0
L105619,Waterkloof,House,4,340.0,2023-01-09,2023-01-27,Sold,8169000.0,7847000.0
L103070,Waterkloof,House,2,196.0,2023-01-09,2023-02-28,Sold,5194000.0,5054000.0
L102283,Centurion,House,3,219.0,2023-01-09,2023-01-17,Sold,3313000.0,3163000.0
L102206,Centurion,House,,418.0,2023-01-09,2023-02-17,Sold,5886000.0,5801000.0
L103273,Centurion,Apartment,2,70.0,2023-01-09,2023-03-23,Sold,943000.0,907000.0
L102630,Waterkloof,House,3,223.0,2023-01-10,2023-03-21,Sold,5245000.0,5166000.0
L102612,Faerie Glen,Apartment,2,78.0,2023-01-10,2023-01-31,Sold,1075000.0,971000.0
L104173,Brooklyn,House,2,219.0,2023-01-10,2023-01-23,Sold,4463000.0,4264000.0
L104824,Lynnwood,House,3,245.0,2023-01-10,2023-03-22,Sold,5509000.0,5127000.0
L103237,Brooklyn,Apartment,2,79.0,2023-01-11,,Withdrawn,1451000.0,
L105920,Lynnwood,Apartment,1,58.0,2023-01-11,,Withdrawn,1118000.0,
L102140,Bryanston,House,3,252.0,2023-01-11,,Withdrawn,7358000.0,
L103659,Waterkloof,House,4,219.0,2023-01-11,2023-01-16,Sold,5300000.0,5220000.0
L100714,Rooihuiskraal,Apartment,1,72.0,2023-01-12,2023-02-21,Sold,997000.0,921000.0
L104479,Sandton,Townhouse,1,117.0,2023-01-12,2023-02-18,Sold,3113000.0,3098000.0
L102736,Groenkloof,House,2,126.0,2023-01-12,2023-02-05,Sold,2758000.0,2602000.0
L103638,Rooihuiskraal,Apartment,2,64.0,2023-01-12,2023-05-06,Sold,997000.0,944000.0
L101273,Irene,House,4,240.0,2023-01-12,2023-03-08,Sold,4662000.0,4449000.0
L105022,Bryanston,Townhouse,2,171.0,2023-01-13,2023-03-01,Sold,4038000.0,3915000.0
L100414,Waterkloof,House,4,257.0,2023-01-13,2023-05-13,Sold,5621000.0,5389000.0
L102397,Groenkloof,Apartment,1,144.0,2023-01-13,2023-01-26,Sold,2354000.0,2187000.0
L103567,Faerie Glen,Apartment,3,155.0,2023-01-13,2023-01-30,Sold,2263000.0,2140000.0
L105761,Sandton,House,3,237.0,2023-01-13,2023-02-16,Sold,6429000.0,6325000.0
L102589,Lynnwood,Apartment,2,140.0,2023-01-14,,Withdrawn,2522000.0,
L104732,Menlo Park,Apartment,2,83.0,2023-01-14,2023-02-19,Sold,1442000.0,1374000.0
L100847,Centurion,House,6,385.0,2023-01-14,,Withdrawn,5712000.0,
L103770,Sandton,House,3,220.0,2023-01-14,2023-02-06,Sold,6849000.0,6837000.0
L104693,Bryanston,House,3,222.0,2023-01-14,2023-02-05,Sold,5596000.0,5388000.0
L100626,Rooihuiskraal,Apartment,1,81.0,2023-01-14,2023-02-02,Sold,995000.0,934000.0
L105816,Brooklyn,Apartment,1,77.0,2023-01-14,2023-01-29,Sold,1385000.0,1350000.0
L103710,Bryanston,Apartment,2,95.0,2023-01-14,2023-02-02,Sold,1908000.0,1826000.0
L103213,Irene,House,3,238.0,2023-01-14,2023-04-05,Sold,5338000.0,5338000.0
L101055,Centurion,House,,251.0,2023-01-14,2023-01-29,Sold,3979000.0,3854000.0
L100747,Lynnwood,House,4,289.0,2023-01-15,2023-03-21,Sold,5388000.0,5380000.0
L105627,Rooihuiskraal,Townhouse,2,160.0,2023-01-15,2023-02-28,Sold,2354000.0,2263000.0
L105221,Irene,Apartment,1,93.0,2023-01-15,2023-02-16,Sold,1490000.0,1483000.0
L100276,Menlo Park,House,2,,2023-01-15,2023-02-02,Sold,3560000.0,3448000.0
L103850,Lynnwood,House,4,264.0,2023-01-15,2023-01-25,Sold,5831000.0,5831000.0
L102503,Bryanston,Apartment,2,57.0,2023-01-16,2023-04-09,Sold,1466000.0,1429000.0
L100373,Menlo Park,Apartment,2,,2023-01-16,2023-04-24,Sold,2584000.0,2584000.0
L100453,Groenkloof,House,,188.0,2023-01-16,2023-03-20,Sold,3577000.0,3577000.0
L101802,Waterkloof Ridge,House,3,255.0,2023-01-17,2023-02-19,Sold,7100000.0,6958000.0
L103823,Waterkloof,House,2,152.0,2023-01-17,2023-02-16,Sold,3452000.0,3452000.0
L104439,Brooklyn,House,3,239.0,2023-01-17,2023-02-14,Sold,5598000.0,5545000.0
L105893,Bryanston,Apartment,1,55.0,2023-01-17,2023-03-20,Sold,1311000.0,1233000.0
L100614,Brooklyn,Townhouse,2,165.0,2023-01-17,2023-02-26,Sold,3801000.0,3759000.0
L102625,Lynnwood,House,4,224.0,2023-01-17,2023-03-12,Sold,4521000.0,4351000.0
L101180,Rooihuiskraal,House,2,127.0,2023-01-18,2023-02-06,Sold,1853000.0,1852000.0
L103888,Sandton,House,3,168.0,2023-01-18,2023-02-18,Sold,4400000.0,4063000.0
L104453,Centurion,House,4,275.0,2023-01-18,2023-02-02,Sold,4384000.0,4087000.0
L105338,Bryanston,House,5,396.0,2023-01-18,2023-01-31,Sold,10103000.0,10103000.0
L105329,Menlo Park,Townhouse,2,134.0,2023-01-19,2023-02-12,Sold,2221000.0,2114000.0
L105978,Groenkloof,House,5,381.0,2023-01-19,2023-04-12,Sold,7783000.0,7181000.0
L101555,Rooihuiskraal,Townhouse,3,138.0,2023-01-19,2023-02-07,Sold,2274000.0,2122000.0
L104507,Groenkloof,House,3,255.0,2023-01-19,2023-01-29,Sold,5115000.0,5106000.0
L104058,Lynnwood,Apartment,1,59.0,2023-01-19,2023-02-08,Sold,939000.0,914000.0
L101278,Bryanston,Apartment,2,91.0,2023-01-19,2023-01-27,Sold,1994000.0,1949000.0
L102149,Waterkloof Ridge,House,3,273.0,2023-01-20,2023-03-19,Sold,6720000.0,6451000.0
L102511,Lynnwood,House,3,,2023-01-20,2023-03-06,Sold,4142000.0,4066000.0
L100644,Irene,Apartment,2,78.0,2023-01-20,2023-03-02,Sold,1315000.0,1306000.0
L101374,Sandton,House,4,275.0,2023-01-20,2023-02-10,Sold,8165000.0,7942000.0
L105982,Bryanston,House,4,208.0,2023-01-20,2023-02-28,Sold,5916000.0,5828000.0
L105407,Groenkloof,House,3,236.0,2023-01-21,2023-03-27,Sold,3650000.0,3476000.0
L100322,Menlo Park,Apartment,1,83.0,2023-01-21,2023-02-24,Sold,1537000.0,1495000.0
L103410,Centurion,House,1,179.0,2023-01-21,2023-01-28,Sold,3301000.0,3283000.0
L100219,Lynnwood,House,4,269.0,2023-01-22,2023-02-17,Sold,5150000.0,4896000.0
L101786,Menlo Park,Apartment,2,66.0,2023-01-22,2023-04-06,Sold,1343000.0,1343000.0
L100875,Bryanston,House,3,148.0,2023-01-23,2023-02-07,Sold,3901000.0,3766000.0
L103457,Sandton,House,4,329.0,2023-01-23,,Withdrawn,9276000.0,
L102416,Brooklyn,Townhouse,2,177.0,2023-01-23,2023-01-31,Sold,3655000.0,3655000.0
L102152,Rooihuiskraal,Apartment,2,93.0,2023-01-23,2023-03-09,Sold,1131000.0,1104000.0
L100148,Lynnwood,Townhouse,2,129.0,2023-01-23,2023-03-20,Sold,3050000.0,3047000.0
L105126,Lynnwood,House,5,309.0,2023-01-24,2023-03-26,Sold,5125000.0,4925000.0
L103304,Centurion,House,4,,2023-01-24,2023-04-10,Sold,5423000.0,5423000.0
L103532,Lynnwood,Townhouse,2,146.0,2023-01-24,2023-02-23,Sold,2511000.0,2469000.0
L104943,Sandton,House,6,545.0,2023-01-25,2023-03-05,Sold,15074000.0,15045000.0
L105772,Brooklyn,House,1,124.0,2023-01-26,2023-02-12,Sold,2226000.0,2054000.0
L100047,Brooklyn,House,2,204.0,2023-01-26,2023-02-16,Sold,4467000.0,4246000.0
L101819,Irene,House,2,161.0,2023-01-27,2023-05-04,Sold,2451000.0,2306000.0
L103611,Menlo Park,Apartment,1,72.0,2023-01-27,2023-03-15,Sold,1250000.0,1217000.0
L105099,Bryanston,House,3,224.0,2023-01-27,2023-04-11,Sold,5806000.0,5806000.0
L103895,Irene,Apartment,1,74.0,2023-01-28,2023-02-15,Sold,877000.0,844000.0
L100762,Waterkloof,Townhouse,1,,2023-01-28,2023-02-23,Sold,2733000.0,2733000.0
L105848,Waterkloof Ridge,House,3,242.0,2023-01-28,2023-02-11,Sold,5090000.0,5090000.0
L102643,Bryanston,House,2,147.0,2023-01-28,2023-04-02,Sold,4115000.0,4034000.0
L102676,Lynnwood,Apartment,1,67.0,2023-01-28,2023-02-24,Sold,1019000.0,958000.0
L102321,Waterkloof,House,2,180.0,2023-01-28,2023-02-26,Sold,4712000.0,4712000.0
L103121,Menlo Park,Townhouse,3,192.0,2023-01-28,2023-02-07,Sold,3946000.0,3854000.0
L100321,Faerie Glen,House,2,,2023-01-28,2023-04-05,Sold,2301000.0,2282000.0
L103984,Menlo Park,Apartment,2,98.0,2023-01-28,2023-03-08,Sold,1796000.0,1786000.0
L102723,Lynnwood,Apartment,1,80.0,2023-01-29,2023-02-17,Sold,1431000.0,1372000.0
L104235,Groenkloof,House,6,506.0,2023-01-29,2023-02-16,Sold,9759000.0,9545000.0
L102767,Centurion,Townhouse,4,217.0,2023-01-30,2023-02-14,Sold,3623000.0,3564000.0
L100507,Bryanston,House,2,231.0,2023-01-30,2023-02-17,Sold,6686000.0,6686000.0
L102562,Centurion,Apartment,1,75.0,2023-01-30,2023-03-08,Sold,1315000.0,1249000.0
L101745,Centurion,Apartment,2,104.0,2023-01-30,2023-02-27,Sold,1580000.0,1554000.0
L103044,Centurion,House,2,179.0,2023-01-30,2023-03-19,Sold,3630000.0,3434000.0
L103945,Bryanston,House,2,184.0,2023-01-30,2023-03-29,Sold,4988000.0,4988000.0
L102130,Groenkloof,Apartment,,47.0,2023-01-31,2023-03-06,Sold,813000.0,779000.0
L105846,Sandton,Apartment,2,142.0,2023-01-31,2023-03-08,Sold,4069000.0,4069000.0
L101445,Irene,Apartment,2,109.0,2023-01-31,2023-02-14,Sold,2100000.0,1889000.0
L102978,Centurion,Apartment,1,138.0,2023-01-31,2023-03-24,Sold,2281000.0,2135000.0
L103008,Waterkloof,Apartment,1,97.0,2023-02-01,2023-02-19,Sold,2352000.0,2192000.0
L103606,Waterkloof Ridge,House,3,184.0,2023-02-01,,Withdrawn,5068000.0,
L102291,Centurion,Townhouse,2,136.0,2023-02-01,2023-03-10,Sold,2067000.0,2067000.0
L102370,Lynnwood,House,4,273.0,2023-02-01,2023-03-05,Sold,4941000.0,4906000.0
L105961,Groenkloof,House,,206.0,2023-02-01,2023-03-22,Sold,4008000.0,3947000.0
L102113,Irene,Apartment,2,83.0,2023-02-01,2023-02-18,Sold,1398000.0,1319000.0
L104282,Irene,House,3,222.0,2023-02-02,2023-03-19,Sold,3425000.0,3413000.0
L105411,Rooihuiskraal,House,3,244.0,2023-02-02,2023-03-04,Sold,2760000.0,2597000.0
L103478,Sandton,House,3,201.0,2023-02-02,2023-04-01,Sold,6484000.0,6484000.0
L105871,Brooklyn,Apartment,1,69.0,2023-02-02,2023-02-25,Sold,1270000.0,1270000.0
L101800,Irene,House,3,218.0,2023-02-02,2023-02-13,Sold,3785000.0,3685000.0
L102556,Waterkloof,Apartment,2,148.0,2023-02-03,2023-03-05,Sold,3423000.0,3333000.0
L101084,Sandton,Apartment,1,77.0,2023-02-03,2023-04-14,Sold,2057000.0,1995000.0
L102741,Bryanston,Apartment,2,56.0,2023-02-03,2023-02-20,Sold,1506000.0,1506000.0
L103365,Menlo Park,House,3,223.0,2023-02-03,2023-03-23,Sold,4337000.0,4271000.0
L103442,Waterkloof,Apartment,1,99.0,2023-02-04,2023-03-31,Sold,2215000.0,2004000.0
L101547,Rooihuiskraal,House,2,130.0,2023-02-04,2023-02-22,Sold,1909000.0,1775000.0
L105672,Menlo Park,House,2,147.0,2023-02-04,2023-02-20,Sold,3055000.0,2910000.0
L101432,Waterkloof,Apartment,2,120.0,2023-02-05,2023-02-20,Sold,2356000.0,2340000.0
L102002,Sandton,House,3,215.0,2023-02-05,2023-03-22,Sold,6983000.0,6366000.0
L104902,Groenkloof,House,5,365.0,2023-02-05,2023-03-09,Sold,8017000.0,7461000.0
L100851,Groenkloof,House,4,199.0,2023-02-05,2023-03-23,Sold,3348000.0,3348000.0
L102386,Sandton,Townhouse,1,129.0,2023-02-05,2023-03-15,Sold,3247000.0,2989000.0
L102852,Bryanston,House,3,167.0,2023-02-06,2023-03-19,Sold,4472000.0,4464000.0
L105132,Groenkloof,House,3,233.0,2023-02-06,2023-02-20,Sold,4593000.0,4538000.0
L102792,Centurion,House,4,305.0,2023-02-06,2023-03-22,Sold,4829000.0,4767000.0
L105829,Rooihuiskraal,House,3,213.0,2023-02-07,2023-02-21,Sold,2602000.0,2404000.0
L100320,Sandton,House,3,196.0,2023-02-07,2023-03-21,Sold,4732000.0,4732000.0
L104189,Faerie Glen,House,4,259.0,2023-02-07,2023-03-26,Sold,4273000.0,4068000.0
L105113,Sandton,House,6,388.0,2023-02-08,2023-03-04,Sold,11779000.0,11638000.0
L100260,Waterkloof Ridge,Townhouse,3,161.0,2023-02-08,2023-04-21,Sold,4225000.0,3994000.0
L102106,Centurion,House,6,572.0,2023-02-08,2023-03-16,Sold,7741000.0,7329000.0
L104947,Rooihuiskraal,Apartment,1,75.0,2023-02-09,2023-04-25,Sold,878000.0,841000.0
L100947,Bryanston,Apartment,1,64.0,2023-02-09,2023-03-06,Sold,1915000.0,1912000.0
L105517,Groenkloof,House,4,206.0,2023-02-09,2023-04-10,Sold,4307000.0,4229000.0
L100214,Centurion,House,4,307.0,2023-02-10,,Withdrawn,4342000.0,
L102886,Waterkloof,House,4,292.0,2023-02-10,2023-04-04,Sold,6099000.0,5756000.0
L101682,Centurion,House,4,263.0,2023-02-10,,Withdrawn,4551000.0,
L105574,Menlo Park,Apartment,1,68.0,2023-02-10,2023-03-23,Sold,1534000.0,1521000.0
L105104,Bryanston,Apartment,1,78.0,2023-02-10,2023-04-14,Sold,1940000.0,1900000.0
L101578,Sandton,House,5,381.0,2023-02-10,2023-03-21,Sold,10207000.0,10030000.0
L100764,Sandton,House,2,146.0,2023-02-11,2023-03-26,Sold,4456000.0,4320000.0
L101975,Groenkloof,Townhouse,1,93.0,2023-02-11,2023-03-17,Sold,1411000.0,1348000.0
L101949,Sandton,Townhouse,2,179.0,2023-02-11,2023-03-04,Sold,4634000.0,4434000.0
L104146,Waterkloof,House,4,197.0,2023-02-11,2023-03-23,Sold,4971000.0,4743000.0
L102319,Sandton,House,5,298.0,2023-02-11,2023-03-23,Sold,8903000.0,8522000.0
L105437,Groenkloof,House,4,257.0,2023-02-11,,Withdrawn,4761000.0,
L104667,Menlo Park,House,4,327.0,2023-02-11,,Withdrawn,5286000.0,
L102201,Sandton,Townhouse,1,102.0,2023-02-12,2023-03-17,Sold,3111000.0,2809000.0
L104621,Sandton,House,4,246.0,2023-02-12,2023-04-22,Sold,6992000.0,6475000.0
L101365,Faerie Glen,House,4,265.0,2023-02-12,2023-03-10,Sold,4277000.0,4255000.0
L103646,Menlo Park,House,6,343.0,2023-02-12,2023-04-11,Sold,6788000.0,6332000.0
L101354,Bryanston,House,5,,2023-02-12,2023-03-27,Sold,7615000.0,7286000.0
L103613,Bryanston,House,6,345.0,2023-02-13,2023-06-01,Sold,10482000.0,10482000.0
L103642,Bryanston,Townhouse,1,126.0,2023-02-13,2023-03-31,Sold,3000000.0,2890000.0
L101625,Centurion,House,6,372.0,2023-02-13,2023-03-22,Sold,7343000.0,6779000.0
L102745,Rooihuiskraal,House,6,346.0,2023-02-13,2023-03-11,Sold,3826000.0,3586000.0
L100412,Waterkloof Ridge,House,2,178.0,2023-02-14,2023-04-26,Sold,4298000.0,4201000.0
L100301,Waterkloof Ridge,House,2,137.0,2023-02-14,2023-02-28,Sold,3257000.0,2979000.0
L104448,Faerie Glen,House,5,,2023-02-15,2023-03-09,Sold,7472000.0,7472000.0
L102094,Sandton,House,4,,2023-02-15,2023-04-30,Sold,7889000.0,7434000.0
L105095,Faerie Glen,Apartment,1,59.0,2023-02-15,2023-05-22,Sold,837000.0,837000.0
L105689,Bryanston,Apartment,2,72.0,2023-02-16,2023-05-05,Sold,1708000.0,1667000.0
L101713,Bryanston,House,5,355.0,2023-02-16,2023-03-11,Sold,9602000.0,9602000.0
L104286,Sandton,Townhouse,3,176.0,2023-02-16,2023-03-28,Sold,4846000.0,4846000.0
L100636,Centurion,House,5,360.0,2023-02-17,2023-06-02,Sold,6586000.0,6586000.0
L101468,Centurion,Apartment,1,82.0,2023-02-17,2023-04-18,Sold,1277000.0,1128000.0
L102918,Waterkloof,Apartment,2,153.0,2023-02-17,2023-03-23,Sold,2983000.0,2983000.0
L104009,Irene,House,1,110.0,2023-02-17,2023-04-26,Sold,1746000.0,1746000.0
L105990,Waterkloof Ridge,Townhouse,2,207.0,2023-02-17,2023-03-10,Sold,5303000.0,5303000.0
L105797,Sandton,House,6,578.0,2023-02-18,2023-03-29,Sold,16009000.0,15020000.0
L100314,Menlo Park,Apartment,2,72.0,2023-02-18,2023-03-20,Sold,1434000.0,1344000.0
L100595,Brooklyn,House,3,253.0,2023-02-18,2023-03-17,Sold,5140000.0,5140000.0
L104982,Menlo Park,House,5,,2023-02-19,2023-03-11,Sold,6737000.0,6737000.0
L104498,Bryanston,Apartment,2,133.0,2023-02-19,2023-05-28,Sold,3293000.0,3140000.0
L102639,Groenkloof,House,4,355.0,2023-02-19,2023-05-03,Sold,6783000.0,6606000.0
L100561,Brooklyn,House,3,166.0,2023-02-19,2023-03-15,Sold,3946000.0,3797000.0
L102679,Menlo Park,Apartment,2,75.0,2023-02-20,2023-03-06,Sold,1364000.0,1306000.0
L104276,Lynnwood,Apartment,2,74.0,2023-02-20,2023-03-27,Sold,1386000.0,1386000.0
L103996,Waterkloof Ridge,House,2,132.0,2023-02-20,2023-03-27,Sold,2912000.0,2721000.0
L102456,Irene,Townhouse,2,162.0,2023-02-21,2023-06-18,Sold,3132000.0,2871000.0
L103181,Brooklyn,House,4,206.0,2023-02-21,2023-04-05,Sold,3785000.0,3662000.0
L100354,Lynnwood,House,6,315.0,2023-02-21,,Withdrawn,6687000.0,
L104254,Bryanston,Apartment,1,67.0,2023-02-21,2023-05-09,Sold,1478000.0,1478000.0
L101697,Rooihuiskraal,Apartment,2,78.0,2023-02-21,2023-03-26,Sold,1024000.0,1011000.0
L105310,Lynnwood,House,3,268.0,2023-02-21,,Withdrawn,4188000.0,
L104194,Brooklyn,House,3,256.0,2023-02-21,2023-04-06,Sold,4918000.0,4450000.0
L103663,Centurion,Apartment,2,53.0,2023-02-21,2023-04-03,Sold,835000.0,794000.0
L105035,Groenkloof,Townhouse,3,231.0,2023-02-21,2023-05-19,Sold,2753000.0,2693000.0
L105580,Centurion,House,3,222.0,2023-02-21,2023-03-04,Sold,3644000.0,3581000.0
L100828,Bryanston,Apartment,2,81.0,2023-02-21,2023-04-20,Sold,2281000.0,2281000.0
L102350,Waterkloof,Townhouse,2,107.0,2023-02-21,2023-04-02,Sold,2478000.0,2396000.0
L105602,Bryanston,House,5,302.0,2023-02-22,2023-04-11,Sold,8769000.0,8341000.0
L103338,Brooklyn,Apartment,2,94.0,2023-02-22,2023-04-06,Sold,1688000.0,1687000.0
L100147,Faerie Glen,House,,521.0,2023-02-22,2023-03-06,Sold,8885000.0,8835000.0
L100136,Sandton,Townhouse,3,218.0,2023-02-22,,Withdrawn,6539000.0,
L104508,Rooihuiskraal,House,3,236.0,2023-02-23,2023-04-18,Sold,3139000.0,2843000.0
L101772,Centurion,House,5,313.0,2023-02-23,2023-06-13,Sold,5537000.0,5322000.0
L102810,Waterkloof,Apartment,2,87.0,2023-02-23,2023-04-05,Sold,1576000.0,1517000.0
L101140,Menlo Park,House,4,275.0,2023-02-23,2023-04-17,Sold,5669000.0,5226000.0
L105231,Sandton,Townhouse,2,136.0,2023-02-24,2023-03-07,Sold,3957000.0,3713000.0
L104869,Centurion,Townhouse,,167.0,2023-02-24,2023-04-24,Sold,2806000.0,2685000.0
L102892,Irene,Apartment,2,91.0,2023-02-24,2023-03-14,Sold,1415000.0,1359000.0
L103272,Centurion,Townhouse,2,196.0,2023-02-24,2023-05-11,Sold,3200000.0,3094000.0
L100122,Waterkloof,Apartment,1,55.0,2023-02-24,2023-03-05,Sold,1375000.0,1307000.0
L105641,Rooihuiskraal,House,2,163.0,2023-02-24,2023-04-20,Sold,2710000.0,2649000.0
L105458,Groenkloof,Townhouse,2,,2023-02-25,2023-03-25,Sold,2406000.0,2337000.0
L105263,Bryanston,House,3,270.0,2023-02-25,2023-03-27,Sold,6489000.0,6025000.0
L100034,Lynnwood,Townhouse,4,245.0,2023-02-25,2023-03-25,Sold,4298000.0,4125000.0
L103036,Irene,Townhouse,3,167.0,2023-02-25,2023-03-15,Sold,2937000.0,2918000.0
L105431,Lynnwood,House,4,282.0,2023-02-25,2023-05-14,Sold,5625000.0,5545000.0
L101011,Irene,Townhouse,2,125.0,2023-02-26,2023-05-20,Sold,2328000.0,2213000.0
L101132,Waterkloof Ridge,House,2,99.0,2023-02-26,,Withdrawn,2238000.0,
L102517,Brooklyn,House,1,97.0,2023-02-26,2023-03-07,Sold,2086000.0,2086000.0
L103249,Lynnwood,Apartment,2,104.0,2023-02-26,2023-03-28,Sold,1861000.0,1794000.0
L105750,Waterkloof,Apartment,2,117.0,2023-02-26,2023-04-07,Sold,2726000.0,2686000.0
L100537,Groenkloof,Apartment,1,71.0,2023-02-26,2023-03-29,Sold,1081000.0,1071000.0
L104928,Centurion,Townhouse,3,246.0,2023-02-26,,Withdrawn,3957000.0,
L103684,Groenkloof,House,3,124.0,2023-02-27,2023-03-17,Sold,2358000.0,2238000.0
L104957,Brooklyn,Apartment,1,50.0,2023-02-27,2023-03-26,Sold,1088000.0,1088000.0
L104099,Sandton,House,5,321.0,2023-02-27,2023-05-20,Sold,8541000.0,8486000.0
L103593,Waterkloof,Apartment,1,56.0,2023-02-28,2023-04-18,Sold,1426000.0,1426000.0
L103154,Groenkloof,House,1,135.0,2023-03-01,2023-03-22,Sold,2681000.0,2639000.0
L104417,Waterkloof,House,3,296.0,2023-03-01,2023-04-04,Sold,6998000.0,6912000.0
L101595,Centurion,Townhouse,2,148.0,2023-03-01,2023-03-12,Sold,2147000.0,2079000.0
L102272,Rooihuiskraal,Townhouse,2,203.0,2023-03-01,2023-03-31,Sold,2716000.0,2498000.0
L105679,Menlo Park,House,3,152.0,2023-03-01,2023-04-18,Sold,3180000.0,3180000.0
L104769,Centurion,Apartment,2,113.0,2023-03-01,,Withdrawn,1583000.0,
L104998,Menlo Park,House,3,174.0,2023-03-02,2023-04-15,Sold,3754000.0,3486000.0
L101296,Waterkloof Ridge,Apartment,2,81.0,2023-03-02,2023-05-05,Sold,2305000.0,2305000.0
L103284,Groenkloof,House,5,227.0,2023-03-02,2023-03-30,Sold,4095000.0,4095000.0
L101665,Bryanston,House,2,122.0,2023-03-02,2023-04-10,Sold,3014000.0,2996000.0
L105906,Centurion,Apartment,2,63.0,2023-03-03,2023-05-21,Sold,1245000.0,1192000.0
L103864,Sandton,House,4,259.0,2023-03-03,2023-03-22,Sold,9060000.0,8737000.0
L104307,Menlo Park,House,4,248.0,2023-03-03,2023-05-02,Sold,5028000.0,4815000.0
L105878,Centurion,House,4,331.0,2023-03-04,2023-05-12,Sold,6558000.0,6294000.0
L102945,Lynnwood,Apartment,2,101.0,2023-03-04,2023-05-26,Sold,1730000.0,1654000.0
L104779,Centurion,House,6,482.0,2023-03-04,2023-04-11,Sold,8847000.0,8847000.0
